CD_Rank,College_Name,College_URL,Location,Approvals,NAAC_Grade,First_Year_Fees,Avg_Package,Highest_Package,Rating,Reviews,National_Ranking,college_code,Match_Score
#11,"KLE Technological University, Hubli",https://collegedunia.com/university/12953-kle-technological-university-hubli,"Hubli, Karnataka","AICTE, UGC Approved",A,1204400.0,530000.0,4638000.0,4.2,"Based on 223 User
Reviews",224.0,E030,100.0
#12,"Bangalore Institute of Technology - [BIT], Bangalore",https://collegedunia.com/college/12989-bangalore-institute-of-technology-bit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",,1144352.0,1000000.0,5800000.0,3.8,"Based on 270 User
Reviews",242.0,E004,100.0
#13,"NIE Institute of Technology - [NIEIT], Mysore",https://collegedunia.com/college/14394-nie-institute-of-technology-nieit-mysore,"Mysore, Karnataka","AICTE, UGC, NBA Approved",,139970.0,975000.0,5600000.0,4.0,"Based on 73 User
Reviews",250.0,E022,100.0
#14,"The National Institute of Engineering - [NIE], Mysore",https://collegedunia.com/college/15466-the-national-institute-of-engineering-nie-mysore,"Mysore, Karnataka","AICTE, UGC Approved",B++,,1050000.0,7000000.0,4.0,"Based on 315 User
Reviews",258.0,E056,100.0
#15,"BMS Institute of Technology and Management - [BMSIT], Bangalore",https://collegedunia.com/college/12944-bms-institute-of-technology-and-management-bmsit-bangalore,"Bangalore, Karnataka",NBA Approved,A,,807000.0,4640000.0,4.0,"Based on 273 User
Reviews",261.0,E008,100.0
#16,"Siddaganga Institute of Technology - [SIT], Tumkur",https://collegedunia.com/college/15126-siddaganga-institute-of-technology-sit-tumkur,"Tumkur, Karnataka","AICTE, NBA Approved",A++,1176510.0,900000.0,3288000.0,3.9,"Based on 181 User
Reviews",277.0,E016,100.0
#17,"Nitte Meenakshi Institute of Technology - [NMIT] (Deemed to be University), Bangalore",https://collegedunia.com/college/14500-nitte-meenakshi-institute-of-technology-nmit-deemed-to-be-university-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1400000.0,5900000.0,,3.9,"Based on 324 User
Reviews",292.0,E008,100.0
#18,"RV Institute of Technology and Management - [RVITM], Bangalore",https://collegedunia.com/college/62191-rv-institute-of-technology-and-management-rvitm-bangalore,"Bangalore, Karnataka",AICTE Approved,,,1244000.0,3300000.0,4.0,"Based on 15 User
Reviews",297.0,E008,100.0
#19,"New Horizon College of Engineering - [NHCE], Bangalore",https://collegedunia.com/college/14483-new-horizon-college-of-engineering-nhce-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A,1500000.0,650000.0,4250000.0,4.2,"Based on 253 User
Reviews",298.0,E099,100.0
#20,"RNS Institute of Technology - [RNSIT], Bangalore",https://collegedunia.com/college/14664-rns-institute-of-technology-rnsit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1204400.0,5000000.0,,3.9,"Based on 303 User
Reviews",300.0,E008,100.0
#21,"B. N. M. Institute of Technology - [BNMIT], Bangalore",https://collegedunia.com/college/12946-b-n-m-institute-of-technology-bnmit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,,616000.0,3428000.0,3.8,"Based on 104 User
Reviews",303.0,E008,100.0
#22,"Sir M Visvesvaraya Institute of Technology - [Sir MVIT], Bangalore",https://collegedunia.com/college/15151-sir-m-visvesvaraya-institute-of-technology-sir-mvit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,,598000.0,1600000.0,3.8,"Based on 200 User
Reviews",304.0,E008,100.0
#23,"KLS Gogte Institute of Technology - [KLS GIT], Belgaum",https://collegedunia.com/college/28571-kls-gogte-institute-of-technology-kls-git-belgaum,"Belgaum, Karnataka","AICTE, NBA Approved",A+,1248348.0,654000.0,5100000.0,3.7,"Based on 146 User
Reviews",307.0,E037,100.0
#24,"Dr. Ambedkar Institute of Technology - [AIT], Bangalore",https://collegedunia.com/college/13369-dr-ambedkar-institute-of-technology-ait-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A+,259160.0,1975000.0,,3.7,"Based on 190 User
Reviews",308.0,E004,100.0
#25,"SDM College of Engineering and Technology - [SDMCET], Dharwad",https://collegedunia.com/college/14820-sdm-college-of-engineering-and-technology-sdmcet-dharwad,"Dharwad, Karnataka","AICTE, NBA Approved",A,1155010.0,659000.0,4394000.0,4.2,"Based on 271 User
Reviews",313.0,E034,100.0
#26,"M.S. Ramaiah University of Applied Sciences - [MSRUAS], Bangalore",https://collegedunia.com/university/54840-ms-ramaiah-university-of-applied-sciences-msruas-bangalore,"Bangalore, Karnataka","DCI, AICTE, PCI, BCI, UGC Approved",A+,2100000.0,700000.0,5200000.0,4.0,"Based on 155 User
Reviews",317.0,E235,100.0
#27,"Vidyavardhaka College of Engineering - [VVCE], Mysore",https://collegedunia.com/college/19173-vidyavardhaka-college-of-engineering-vvce-mysore,"Mysore, Karnataka","AICTE, UGC, NBA Approved",A,1332840.0,4130000.0,,4.1,"Based on 127 User
Reviews",320.0,E071,100.0
#28,"CMR Institute of Technology - [CMRIT], Bangalore",https://collegedunia.com/college/13134-cmr-institute-of-technology-cmrit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A++,1204000.0,699000.0,4410000.0,4.0,"Based on 480 User
Reviews",321.0,E008,100.0
#29,"Government Sri Krishnarajendra Silver Jubilee Technological Institute, Bangalore",https://collegedunia.com/college/13620-government-sri-krishnarajendra-silver-jubilee-technological-institute-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",,417060.0,,,3.6,"Based on 11 User
Reviews",325.0,E204,100.0
#31,"Acharya Institute of Technology - [AIT], Bangalore",https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",,1204400.0,600000.0,6500000.0,4.1,"Based on 364 User
Reviews",329.0,E008,100.0
#32,"Malnad College of Engineering - [MCE], Hassan",https://collegedunia.com/college/14247-malnad-college-of-engineering-mce-hassan,"Hassan, Karnataka","AICTE, UGC, NBA Approved",B+,486440.0,1250000.0,,4.0,"Based on 78 User
Reviews",331.0,E024,100.0
#33,"Sahyadri College of Engineering & Management (SCEM), Mangalore",https://collegedunia.com/college/14894-sahyadri-college-of-engineering-and-management-scem-mangalore,"Mangalore, Karnataka","AICTE, NBA Approved",A,1204400.0,400000.0,4000000.0,4.1,"Based on 108 User
Reviews",332.0,E160,100.0
#34,"BGS & SJB Group of Institutions, Bangalore",https://collegedunia.com/college/15217-bgs-and-sjb-group-of-institutions-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1204400.0,552000.0,2700000.0,3.6,"Based on 118 User
Reviews",335.0,E115,100.0
#35,"Sri Siddhartha Institute of Technology - [SSIT], Tumkur",https://collegedunia.com/university/15267-sri-siddhartha-institute-of-technology-ssit-tumkur,"Tumkur, Karnataka","AICTE, NBA Approved",A+,1600000.0,1200000.0,,4.0,"Based on 50 User
Reviews",337.0,E017,100.0
#36,"KLE Dr. M.S.Sheshgiri College of Engineering & Technology, Belgaum",https://collegedunia.com/college/28567-kle-dr-mssheshgiri-college-of-engineering-and-technology-belgaum,"Belgaum, Karnataka","AICTE, NBA Approved",A,973698.0,3400000.0,,3.9,"Based on 46 User
Reviews",339.0,E036,100.0
#37,"Dayananda Sagar Academy of Technology and Management - [DSATM], Bangalore",https://collegedunia.com/college/13315-dayananda-sagar-academy-of-technology-and-management-dsatm-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1312840.0,536000.0,2511000.0,4.0,"Based on 180 User
Reviews",342.0,E212,100.0
#38,"PES College of Engineering - [PESCE], Mandya",https://collegedunia.com/college/14554-pes-college-of-engineering-pesce-mandya,"Mandya, Karnataka","AICTE, NBA Approved",A,374856.0,530000.0,1450000.0,3.9,"Based on 604 User
Reviews",343.0,E023,100.0
#39,"St Joseph Engineering College - [SJEC], Mangalore",https://collegedunia.com/college/15312-st-joseph-engineering-college-sjec-mangalore,"Mangalore, Karnataka","AICTE, NBA Approved",A+,976440.0,2750000.0,,4.0,"Based on 78 User
Reviews",346.0,E129,100.0
#40,"Global Academy of Technology - [GAT], Bangalore",https://collegedunia.com/college/13557-global-academy-of-technology-gat-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,880000.0,517000.0,2200000.0,3.9,"Based on 103 User
Reviews",347.0,E103,100.0
#41,"MVJ College of Engineering - [MVJCE], Bangalore",https://collegedunia.com/college/14164-mvj-college-of-engineering-mvjce-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",B++,327200.0,2770000.0,,3.8,"Based on 254 User
Reviews",350.0,E011,100.0
#42,"GSSS Institute of Engineering and Technology for Women - [GSSSIETW], Mysore",https://collegedunia.com/college/13516-gsss-institute-of-engineering-and-technology-for-women-gsssietw-mysore,"Mysore, Karnataka","AICTE, NBA Approved",A,900000.0,680000.0,3400000.0,4.3,"Based on 50 User
Reviews",352.0,E133,100.0
#43,"University BDT College of Engineering, Visvesvaraya Technological University - [UBDTCE], Davanagere",https://collegedunia.com/college/28248-university-bdt-college-of-engineering-visvesvaraya-technological-university-ubdtce-davanagere,"Davanagere, Karnataka","AICTE, NBA Approved",,472420.0,,,3.5,"Based on 27 User
Reviews",353.0,E061,100.0
#44,"Sapthagiri NPS University, Bangalore",https://collegedunia.com/university/14932-sapthagiri-nps-university-bangalore,"Bangalore, Karnataka","AICTE, UGC Approved",,1100000.0,600000.0,3500000.0,3.6,"Based on 109 User
Reviews",357.0,E108,100.0
#45,"Cambridge Institute of Technology - [CiTech], Bangalore",https://collegedunia.com/college/56039-cambridge-institute-of-technology-citech-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A+,1204000.0,720000.0,5350000.0,4.1,"Based on 228 User
Reviews",358.0,E008,100.0
#46,"Basaveshwar Engineering College - [BEC], Bagalkot",https://collegedunia.com/college/13006-basaveshwar-engineering-college-bec-bagalkot,"Bagalkot, Karnataka","AICTE, NBA Approved",A,,,,3.8,"Based on 67 User
Reviews",360.0,E031,100.0
#47,"KLE Institute of Technology - [KLEIT], Hubli",https://collegedunia.com/college/56129-kle-institute-of-technology-kleit-hubli,"Hubli, Karnataka","AICTE, NBA Approved",,1171348.0,462000.0,800000.0,3.6,"Based on 29 User
Reviews",364.0,E166,100.0
#48,"Bapuji Institute of Engineering and Technology - [BIET], Davanagere",https://collegedunia.com/college/13000-bapuji-institute-of-engineering-and-technology-biet-davanagere,"Davanagere, Karnataka","AICTE, UGC, NBA Approved",A,,497000.0,3000000.0,3.8,"Based on 90 User
Reviews",365.0,E062,100.0
#49,"Jawaharlal Nehru National College of Engineering - [JNNCE], Shimoga",https://collegedunia.com/college/13863-jawaharlal-nehru-national-college-of-engineering-jnnce-shimoga,"Shimoga, Karnataka","AICTE, NBA Approved",A,948884.0,2400000.0,,3.7,"Based on 78 User
Reviews",367.0,E065,100.0
#50,"Dayananda Sagar University - [DSU], Bangalore",https://collegedunia.com/university/57903-dayananda-sagar-university-dsu-bangalore,"Bangalore, Karnataka","AICTE, PCI, INC, BCI, UGC Approved",A+,1648000.0,552000.0,3500000.0,4.1,"Based on 224 User
Reviews",368.0,E240,100.0
#51,"Visvesvaraya Technological University - [VTU], Belgaum",https://collegedunia.com/university/25633-visvesvaraya-technological-university-vtu-belgaum,"Belgaum, Karnataka","AICTE, UGC Approved",B+,450000.0,540000.0,,3.7,"Based on 11508 User
Reviews",371.0,E278,100.0
#52,"Ballari Institute of Technology and Management - [BITM], Bellary",https://collegedunia.com/college/12985-ballari-institute-of-technology-and-management-bitm-bellary,"Bellary, Karnataka","AICTE, UGC, NBA Approved",A+,,4000000.0,,4.1,"Based on 63 User
Reviews",374.0,E075,100.0
#53,"Mangalore Institute of Technology and Engineering - [MITE], Mangalore",https://collegedunia.com/college/14263-mangalore-institute-of-technology-and-engineering-mite-mangalore,"Mangalore, Karnataka",AICTE Approved,A+,1046000.0,5000000.0,,4.1,"Based on 115 User
Reviews",375.0,E151,100.0
#54,"BGS College of Engineering and Technology - [BGSCET], Bangalore",https://collegedunia.com/college/64467-bgs-college-of-engineering-and-technology-bgscet-bangalore,"Bangalore, Karnataka",AICTE Approved,,1080000.0,,,4.4,"Based on 4 User
Reviews",378.0,E088,100.0
#55,"PDA College of Engineering, Gulbarga",https://collegedunia.com/college/14549-pda-college-of-engineering-gulbarga,"Gulbarga, Karnataka","AICTE, UGC, NBA Approved",,880000.0,600000.0,,3.7,"Based on 83 User
Reviews",379.0,E041,100.0
#56,"Sri Jagadguru Chandrashekaranatha Swamiji Institute of Technology - [SJCIT], Chickballapur",https://collegedunia.com/college/15218-sri-jagadguru-chandrashekaranatha-swamiji-institute-of-technology-sjcit-chickballapur,"Chickballapur, Karnataka","AICTE, UGC, NBA Approved",A+,880000.0,560000.0,2800000.0,3.7,"Based on 81 User
Reviews",386.0,E014,100.0
#58,"The Oxford College of Engineering, Bangalore",https://collegedunia.com/college/15468-the-oxford-college-of-engineering-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A,1500000.0,500000.0,2200000.0,3.3,"Based on 317 User
Reviews",391.0,E078,100.0
#59,"Atria Institute of Technology, Bangalore",https://collegedunia.com/college/12906-atria-institute-of-technology-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A++,942440.0,1032000.0,3000000.0,3.6,"Based on 133 User
Reviews",392.0,E008,100.0
#60,"KS Institute of Technology - [KSIT], Bangalore",https://collegedunia.com/college/28606-ks-institute-of-technology-ksit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,880000.0,,,3.5,"Based on 65 User
Reviews",396.0,E008,100.0
#62,"Vidya Vikas Institute of Engineering and Technology - [VVIET], Mysore",https://collegedunia.com/college/24594-vidya-vikas-institute-of-engineering-and-technology-vviet-mysore,"Mysore, Karnataka","AICTE, NBA Approved",B+,409640.0,750000.0,,3.9,"Based on 58 User
Reviews",401.0,E077,100.0
#63,"Government Engineering College - [GECH], Hassan",https://collegedunia.com/college/13617-government-engineering-college-gech-hassan,"Hassan, Karnataka",AICTE Approved,,163000.0,320000.0,500000.0,3.9,"Based on 23 User
Reviews",404.0,E155,100.0
#64,"Sai Vidya Institute of Technology - [SVIT], Bangalore",https://collegedunia.com/college/14901-sai-vidya-institute-of-technology-svit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,,543000.0,2000000.0,4.3,"Based on 220 User
Reviews",405.0,E008,100.0
#65,"Maharaja Institute of Technology - [MIT], Mysore",https://collegedunia.com/college/14197-maharaja-institute-of-technology-mit-mysore,"Mysore, Karnataka","AICTE, NBA Approved",B++,880000.0,517958.0,700000.0,3.9,"Based on 92 User
Reviews",407.0,E158,100.0
#66,"Don Bosco Institute of Technology - [DBIT], Bangalore",https://collegedunia.com/college/13359-don-bosco-institute-of-technology-dbit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,1124400.0,3000000.0,,3.7,"Based on 177 User
Reviews",410.0,E008,100.0
#67,"GM University, Davanagere",https://collegedunia.com/university/13507-gm-university-davanagere,"Davanagere, Karnataka","AICTE, UGC, NBA Approved",B++,1040000.0,,,3.8,"Based on 62 User
Reviews",411.0,E114,100.0
#68,"AMC Engineering College - [AMC], Bangalore",https://collegedunia.com/college/12679-amc-engineering-college-amc-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,,550000.0,3000000.0,3.7,"Based on 144 User
Reviews",413.0,E095,100.0
#69,"RajaRajeswari College of Engineering - [RRCE], Bangalore",https://collegedunia.com/college/56090-rajarajeswari-college-of-engineering-rrce-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A+,880000.0,450000.0,2400000.0,3.5,"Based on 89 User
Reviews",414.0,E145,100.0
#70,"BLDEA's V.P. Dr.P.G.Halakatti College of Engineering & Technology, Bijapur",https://collegedunia.com/college/12939-bldeas-vp-drpghalakatti-college-of-engineering-and-technology-bijapur,"Bijapur, Karnataka","AICTE, NBA Approved",A+,880000.0,300000.0,2700000.0,3.8,"Based on 50 User
Reviews",417.0,E038,100.0
#71,"Jain College of Engineering - [JCE], Belgaum",https://collegedunia.com/college/18171-jain-college-of-engineering-jce-belgaum,"Belgaum, Karnataka","AICTE, NBA Approved",,489440.0,550000.0,1275000.0,3.7,"Based on 45 User
Reviews",418.0,E196,100.0
#72,"PES Institute of Technology and Management - [PESITM], Shimoga",https://collegedunia.com/college/56048-pes-institute-of-technology-and-management-pesitm-shimoga,"Shimoga, Karnataka","AICTE, NBA Approved",A,880000.0,330000.0,800000.0,3.9,"Based on 39 User
Reviews",420.0,E150,100.0
#73,"East Point Group of Institutions - [EPGI], Bangalore",https://collegedunia.com/college/13428-east-point-group-of-institutions-epgi-bangalore,"Bangalore, Karnataka","AICTE, PCI, INC, NBA Approved",,1426500.0,650000.0,3300000.0,3.7,"Based on 151 User
Reviews",421.0,E096,100.0
#74,"KLE College of Engineering and Technology - [KLECET], Chikodi",https://collegedunia.com/college/13924-kle-college-of-engineering-and-technology-klecet-chikodi,"Chikodi, Karnataka","AICTE, NBA Approved",,860000.0,350000.0,725000.0,3.8,"Based on 16 User
Reviews",422.0,E167,100.0
#75,"East West Institute of Technology - [EWIT], Bangalore",https://collegedunia.com/college/13430-east-west-institute-of-technology-ewit-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A,1240000.0,2665000.0,,3.5,"Based on 82 User
Reviews",424.0,E008,100.0
#76,"Adichunchanagiri Institute of Technology- [AIT], Chikmagalur",https://collegedunia.com/college/12729-adichunchanagiri-institute-of-technology-ait-chikmagalur,"Chikmagalur, Karnataka",AICTE Approved,A,824444.0,,,3.5,"Based on 54 User
Reviews",426.0,E064,100.0
#78,"KLS Vishwanathrao Deshpande Institute of Technology - [VDIT], Haliyal",https://collegedunia.com/college/28582-kls-vishwanathrao-deshpande-institute-of-technology-vdit-haliyal,"Haliyal, Karnataka",AICTE Approved,,764444.0,,,3.7,"Based on 23 User
Reviews",428.0,E135,100.0
#80,"Maharaja Institute of Technology Thandavapura - [MITT], Mysore",https://collegedunia.com/college/59171-maharaja-institute-of-technology-thandavapura-mitt-mysore,"Mysore, Karnataka",AICTE Approved,,449640.0,1200000.0,,4.0,"Based on 14 User
Reviews",431.0,E158,100.0
#81,"BGS Institute of Technology - [BGSIT], Mandya",https://collegedunia.com/college/12932-bgs-institute-of-technology-bgsit-mandya,"Mandya, Karnataka","AICTE, NBA Approved",A+,680000.0,,,4.3,"Based on 60 User
Reviews",432.0,E142,100.0
#83,"Jyothy Institute of Technology - [JIT], Bangalore",https://collegedunia.com/college/28516-jyothy-institute-of-technology-jit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",,880000.0,2100000.0,,4.0,"Based on 31 User
Reviews",251.0,E008,100.0
#84,"Sharnbasva university, Gulbarga",https://collegedunia.com/university/59788-sharnbasva-university-gulbarga,"Gulbarga, Karnataka","AICTE, COA, PCI, UGC, NBA Approved",,361172.0,400000.0,720000.0,4.1,"Based on 44 User
Reviews",,E128,100.0
#85,"Vivekananda Institute of Technology, Bangalore",https://collegedunia.com/college/15536-vivekananda-institute-of-technology-bangalore,"Bangalore, Karnataka",AICTE Approved,,744000.0,719000.0,1800000.0,3.6,"Based on 41 User
Reviews",135.0,E008,100.0
#86,"Canara Engineering College - [CEC], Mangalore",https://collegedunia.com/college/13160-canara-engineering-college-cec-mangalore,"Mangalore, Karnataka","AICTE, NBA Approved",A,500824.0,595000.0,2368000.0,3.7,"Based on 47 User
Reviews",,E123,100.0
#87,"Academy for Technical and Management Excellence - [ATME], Mysore",https://collegedunia.com/college/12709-academy-for-technical-and-management-excellence-atme-mysore,"Mysore, Karnataka","AICTE, NBA Approved",A+,1006840.0,1200000.0,,3.9,"Based on 44 User
Reviews",142.0,E205,100.0
#88,"Bangalore College of Engineering and Technology-[BCET], Bangalore",https://collegedunia.com/college/12988-bangalore-college-of-engineering-and-technologybcet-bangalore,"Bangalore, Karnataka",AICTE Approved,,400000.0,,,4.0,"Based on 17 User
Reviews",,E088,100.0
#89,"Channabasaveshwara Institute of Technology - [CIT], Tumkur",https://collegedunia.com/college/13201-channabasaveshwara-institute-of-technology-cit-tumkur,"Tumkur, Karnataka","AICTE, UGC, NBA Approved",B+,1204000.0,450000.0,1360000.0,3.7,"Based on 32 User
Reviews",52.0,E101,100.0
#90,"Smt Kamala & Sri Venkappa M Agadi College of Engineering & Technology - [SKSVMACET], Gadag",https://collegedunia.com/college/15166-smt-kamala-and-sri-venkappa-m-agadi-college-of-engineering-and-technology-sksvmacet-gadag,"Gadag, Karnataka",AICTE Approved,B++,744000.0,600000.0,,3.8,"Based on 13 User
Reviews",,E134,100.0
#91,"Vemana Institute of Technology, Bangalore",https://collegedunia.com/college/45836-vemana-institute-of-technology-bangalore,"Bangalore, Karnataka",AICTE Approved,,519160.0,3200000.0,,3.7,"Based on 54 User
Reviews",,E008,100.0
#92,"Alliance University, Bangalore",https://collegedunia.com/university/25591-alliance-university-bangalore,"Bangalore, Karnataka","AICTE, BCI, UGC, AACSB Approved",A+,1800000.0,850000.0,6010000.0,3.9,"Based on 334 User
Reviews",251.0,E220,100.0
#93,"SDM Institute of Technology -[SDMIT] Ujire, Mangalore",https://collegedunia.com/college/24407-sdm-institute-of-technology-sdmit-ujire-mangalore,"Mangalore, Karnataka",AICTE Approved,,764444.0,,,3.9,"Based on 48 User
Reviews",,E152,100.0
#94,"Sri Venkateshwara College of Engineering - [SVCE], Bangalore",https://collegedunia.com/college/15279-sri-venkateshwara-college-of-engineering-svce-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",B++,968440.0,820000.0,,3.6,"Based on 94 User
Reviews",43.0,E111,100.0
#95,"Shri Madhwa Vadiraja Institute of Technology & Management - [SMVITM], Udupi",https://collegedunia.com/college/28627-shri-madhwa-vadiraja-institute-of-technology-and-management-smvitm-udupi,"Udupi, Karnataka","AICTE, UGC, NBA Approved",A,880000.0,600000.0,1500000.0,3.8,"Based on 21 User
Reviews",,E206,100.0
#96,"Nagarjuna College of Engineering and Technology - [NCET], Bangalore",https://collegedunia.com/college/14408-nagarjuna-college-of-engineering-and-technology-ncet-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A+,1065908.0,1800000.0,,3.8,"Based on 62 User
Reviews",36.0,E088,100.0
#97,"Alva's Institute of Engineering and Technology, Mangalore",https://collegedunia.com/college/28378-alvas-institute-of-engineering-and-technology-mangalore,"Mangalore, Karnataka","AICTE, UGC, NBA Approved",A+,880000.0,2000000.0,,4.0,"Based on 46 User
Reviews",133.0,E151,100.0
#98,"HKBK Group of Institutions, Bangalore",https://collegedunia.com/college/13688-hkbk-group-of-institutions-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA, AIU Approved",,,3240000.0,,3.5,"Based on 107 User
Reviews",91.0,E083,100.0
#99,"Jain College of Engineering and Research - [JCER], Belagavi",https://collegedunia.com/college/59513-jain-college-of-engineering-and-research-jcer-belagavi,"Belagavi, Karnataka",AICTE Approved,,820000.0,,,3.8,"Based on 8 User
Reviews",,E269,100.0
#100,"Vivekananda College of Engineering & Technology - [VCET], Puttur",https://collegedunia.com/college/15532-vivekananda-college-of-engineering-and-technology-vcet-puttur,"Puttur, Karnataka","AICTE, NBA Approved",,1204400.0,,,3.8,"Based on 35 User
Reviews",118.0,E121,100.0
#101,"APS College of Engineering - [APS], Bangalore",https://collegedunia.com/college/23754-aps-college-of-engineering-aps-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",B,,,,3.2,"Based on 43 User
Reviews",,E085,100.0
#102,"Jain College of Engineering and Technology - [JCET], Hubli",https://collegedunia.com/college/59511-jain-college-of-engineering-and-technology-jcet-hubli,"Hubli, Karnataka",AICTE Approved,,880000.0,900000.0,,4.1,"Based on 17 User
Reviews",,E265,100.0
#103,"SG Balekundri Institute of Technology - [SGBIT], Belgaum",https://collegedunia.com/college/14822-sg-balekundri-institute-of-technology-sgbit-belgaum,"Belgaum, Karnataka","AICTE, UGC, NBA Approved",,880000.0,286000.0,600000.0,3.7,"Based on 18 User
Reviews",,E175,100.0
#104,"ACS College of Engineering - [ACSCE], Bangalore",https://collegedunia.com/college/12672-acs-college-of-engineering-acsce-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,880000.0,500000.0,800000.0,3.7,"Based on 48 User
Reviews",,E186,100.0
#105,"Sri Revana Siddeshwara Institute of Technology - [SRSIT], Bangalore",https://collegedunia.com/college/15250-sri-revana-siddeshwara-institute-of-technology-srsit-bangalore,"Bangalore, Karnataka",AICTE Approved,,449640.0,260000.0,,2.4,"Based on 9 User
Reviews",,E008,100.0
#106,"AJ Institute of Engineering and Technology - [AJIET], Mangalore",https://collegedunia.com/college/59170-aj-institute-of-engineering-and-technology-ajiet-mangalore,"Mangalore, Karnataka",AICTE Approved,,449640.0,1400000.0,,3.5,"Based on 32 User
Reviews",109.0,E151,100.0
